Model,run_id,experiment_id,model_uri,Precision,F1_score
AdaBoostClassifier - Experiment,d4852b9cd4ea48c2acb340cebe579b2d,583340286687528916,mlruns/583340286687528916/d4852b9cd4ea48c2acb340cebe579b2d/artifacts/Classification,0.8468680973887497,0.8473384138339255
DecisionTreeClassifier - Experiment,cec8fe04adb54f858cb534dfc032d5b6,918022324864417332,mlruns/918022324864417332/cec8fe04adb54f858cb534dfc032d5b6/artifacts/Classification,0.853934059756994,0.847290696891396
RandomForestClassifier - Experiment,0b2f051ab5744433bf2f4758d78a1ef0,815817167497965623,mlruns/815817167497965623/0b2f051ab5744433bf2f4758d78a1ef0/artifacts/Classification,0.8584399423231385,0.8472491699461352
KNeighborsClassifier - Experiment,a6b3f9a951714e08bf10b8189b5d1d11,245571144726524178,mlruns/245571144726524178/a6b3f9a951714e08bf10b8189b5d1d11/artifacts/Classification,0.8398872574055158,0.835453355142082
XGBoostClassifier - Experiment,d012edea54824cdf89e905201f752fc0,219594723045399859,mlruns/219594723045399859/d012edea54824cdf89e905201f752fc0/artifacts/Classification,0.8069432902209601,0.7974271298319366
SupportVectorClassifier - Experiment,6b06bfaaa46a4744bf387d33b37d2605,217288961836981929,mlruns/217288961836981929/6b06bfaaa46a4744bf387d33b37d2605/artifacts/Classification,0.7838947899159664,0.7802405508368435
